0,3003-6 FALLING LEAF CT
1,703-202 CLAUDELL LN
2,5410 KELSEY DR
3,500 S OGDEN ST
4,3655 BRIARMONT AVE
5,501 LAUREL DR
6,406-A W SOUTHAMPTON DR
7,N HWY 63 NB/BROWN STATION RD
8,1 HOSPITAL DR
9,2704 VISTAVIEW TER
10,500 E WALNUT ST
11,1801 N STADIUM BLVD
12,109 N KEENE ST
13,4704 VALHALLA CT
14,4300-BLK S PROVIDENCE RD
15,109 W FOREST AVE
16,4510 W GEORGETOWN DR
17,1601 LABRADOR DR
18,2601 GRINDSTONE PKWY
19,4303 S PROVIDENCE RD
20,6706 CHELAN DR
21,1220 I70 W
22,2910 BLUFF CREEK DR
23,1201-804 PAQUIN ST
24,1800 COMMERCE CT
25,4306 W BETHANY DR
26,602 W SEXTON RD
27,1004 BIG BEAR BLVD
28,2475-200 BROADWAY BLUFFS DR
29,3112 CHAPEL HILL RD
30,3405-A CLARK LN
31,3405-A CLARK LN
32,GRINDSTONE PKWY ONR SB/S HWY 63 SB
33,GRINDSTONE PKWY/S HWY 63 SB
34,6403 W HWY 40
35,4700 BRANDON WOODS ST
36,6361 E BREEZEWOOD DR
37,4102 COTTON WOOD DR
38,1400 BALLENGER LN
39,5400-BLK CHAMOIS DR
40,2430 E ALFALFA DR
41,1005 TIGER AVE
42,N HWY 63 SB/E HWY 22
43,N HWY 63 NB/E MCHATTON RD
44,1100 VIRGINIA AVE
45,2145 E COUNTY DR
46,3610-100 BUTTONWOOD DR
47,2145 E COUNTY DR
48,4150-313 BETHEL ST
49,700-715 N GARTH AVE
50,2904 LEEWAY DR
51,2504 SOUTH LEISURELY WAY
52,1401 WESTWIND DR
53,745-B DEMARET DR
54,1100-313 ROLLINS ST
55,508 N WILLIAM ST
56,2703 E BROADWAY
57,2614 WHITE GATE DR
58,309 HITT ST
